Book Title,Author,Highlight,Location
2666 (Spanish Edition),Roberto Bolaño,singladura,
2666 (Spanish Edition),Roberto Bolaño,"qué duda cabe,",
2666 (Spanish Edition),Roberto Bolaño,"paquidermo,",
2666 (Spanish Edition),Roberto Bolaño,"incólume,",
2666 (Spanish Edition),Roberto Bolaño,retrasaba.,
2666 (Spanish Edition),Roberto Bolaño,"cojeando,",
2666 (Spanish Edition),Roberto Bolaño,adujo,
2666 (Spanish Edition),Roberto Bolaño,maleza,
2666 (Spanish Edition),Roberto Bolaño,infirió,
2666 (Spanish Edition),Roberto Bolaño,alfeñiques,
2666 (Spanish Edition),Roberto Bolaño,ninguno de los dos creía en la amistad ni en la fidelidad.,
2666 (Spanish Edition),Roberto Bolaño,"compresas,",
2666 (Spanish Edition),Roberto Bolaño,boquiabiertos,
2666 (Spanish Edition),Roberto Bolaño,"derritiendo,",
2666 (Spanish Edition),Roberto Bolaño,"desplantes,",
2666 (Spanish Edition),Roberto Bolaño,estafa.,
2666 (Spanish Edition),Roberto Bolaño,—Badulaque,
2666 (Spanish Edition),Roberto Bolaño,necios,
2666 (Spanish Edition),Roberto Bolaño,copiosísima.,
2666 (Spanish Edition),Roberto Bolaño,"postergarla y diferirla y retrasarla y dilatarla y prorrogarla y aplazarla hasta su lecho de muerte,",
2666 (Spanish Edition),Roberto Bolaño,vozarrones,
2666 (Spanish Edition),Roberto Bolaño,desacostumbradamente,
2666 (Spanish Edition),Roberto Bolaño,renuentes,
2666 (Spanish Edition),Roberto Bolaño,siseo.,
2666 (Spanish Edition),Roberto Bolaño,desgastados,
2666 (Spanish Edition),Roberto Bolaño,"miramientos,",
2666 (Spanish Edition),Roberto Bolaño,camada,
2666 (Spanish Edition),Roberto Bolaño,negada,
2666 (Spanish Edition),Roberto Bolaño,abotargados,
2666 (Spanish Edition),Roberto Bolaño,hastío,
2666 (Spanish Edition),Roberto Bolaño,"resollantes,",
2666 (Spanish Edition),Roberto Bolaño,golosinas.,
2666 (Spanish Edition),Roberto Bolaño,mentados,
2666 (Spanish Edition),Roberto Bolaño,ovillo,
2666 (Spanish Edition),Roberto Bolaño,"triturado,",
2666 (Spanish Edition),Roberto Bolaño,patán,
2666 (Spanish Edition),Roberto Bolaño,escarbaban,
2666 (Spanish Edition),Roberto Bolaño,sandeces.,
2666 (Spanish Edition),Roberto Bolaño,acantilado desde el que se veía una,
2666 (Spanish Edition),Roberto Bolaño,quiebre,
2666 (Spanish Edition),Roberto Bolaño,rebosante.,
2666 (Spanish Edition),Roberto Bolaño,lienzo,
2666 (Spanish Edition),Roberto Bolaño,escalada.,
2666 (Spanish Edition),Roberto Bolaño,espita,
2666 (Spanish Edition),Roberto Bolaño,compungidos,
2666 (Spanish Edition),Roberto Bolaño,misógino,
2666 (Spanish Edition),Roberto Bolaño,desabrida,
2666 (Spanish Edition),Roberto Bolaño,apesadumbrado,
2666 (Spanish Edition),Roberto Bolaño,"pereza consuetudinaria, de languidez permanente,",
2666 (Spanish Edition),Roberto Bolaño,chapuzas,
2666 (Spanish Edition),Roberto Bolaño,a la postre admitido.,
2666 (Spanish Edition),Roberto Bolaño,lencería.,
2666 (Spanish Edition),Roberto Bolaño,tapujos.,
2666 (Spanish Edition),Roberto Bolaño,morbo,
2666 (Spanish Edition),Roberto Bolaño,como el de un niño o una niña o tal vez un animal refugiado en una habitación aislada.,
2666 (Spanish Edition),Roberto Bolaño,rotulador,
2666 (Spanish Edition),Roberto Bolaño,deletreaba,
2666 (Spanish Edition),Roberto Bolaño,"que todo lo mitiga, terminó por borrar",
2666 (Spanish Edition),Roberto Bolaño,"cursilería,",
2666 (Spanish Edition),Roberto Bolaño,(liliputiense,
2666 (Spanish Edition),Roberto Bolaño,"lozanos,",
2666 (Spanish Edition),Roberto Bolaño,"ardillas,",
2666 (Spanish Edition),Roberto Bolaño,displicencia.,
2666 (Spanish Edition),Roberto Bolaño,laderas,
2666 (Spanish Edition),Roberto Bolaño,escrupulosamente,
2666 (Spanish Edition),Roberto Bolaño,risotada,
2666 (Spanish Edition),Roberto Bolaño,verja,
2666 (Spanish Edition),Roberto Bolaño,añosa,
2666 (Spanish Edition),Roberto Bolaño,"óbice,",
2666 (Spanish Edition),Roberto Bolaño,trabas,
2666 (Spanish Edition),Roberto Bolaño,"acogedor,",
2666 (Spanish Edition),Roberto Bolaño,"pretiles,",
2666 (Spanish Edition),Roberto Bolaño,"roble,",
2666 (Spanish Edition),Roberto Bolaño,desentonaba,
2666 (Spanish Edition),Roberto Bolaño,ralear,
2666 (Spanish Edition),Roberto Bolaño,constatar,
2666 (Spanish Edition),Roberto Bolaño,bizquear,
2666 (Spanish Edition),Roberto Bolaño,"El dolor se acumula, decía mi amigo, eso es un hecho, y cuanto mayor es el dolor menor es la casualidad.",
2666 (Spanish Edition),Roberto Bolaño,regazo,
2666 (Spanish Edition),Roberto Bolaño,los riscos y cañadas y solitarios peñascos.,
2666 (Spanish Edition),Roberto Bolaño,círculos que se difuminaban como explosiones sin sonido.,
2666 (Spanish Edition),Roberto Bolaño,redención.,
2666 (Spanish Edition),Roberto Bolaño,es la libertad total a la que estamos abocados por nuestra propia naturaleza. La casualidad no obedece leyes y si las obedece nosotros las desconocemos. La,
2666 (Spanish Edition),Roberto Bolaño,Un Dios incomprensible con gestos incomprensibles dirigidos a sus criaturas incomprensibles.,
2666 (Spanish Edition),Roberto Bolaño,"ósea,",
2666 (Spanish Edition),Roberto Bolaño,"erguido,",
2666 (Spanish Edition),Roberto Bolaño,achispados.,
2666 (Spanish Edition),Roberto Bolaño,goteo,
2666 (Spanish Edition),Roberto Bolaño,escueta,
2666 (Spanish Edition),Roberto Bolaño,cupiera,
2666 (Spanish Edition),Roberto Bolaño,perdurara,
2666 (Spanish Edition),Roberto Bolaño,capeaba,
2666 (Spanish Edition),Roberto Bolaño,muestrario,
2666 (Spanish Edition),Roberto Bolaño,"botones,",
2666 (Spanish Edition),Roberto Bolaño,alabó,
2666 (Spanish Edition),Roberto Bolaño,primorosa),
2666 (Spanish Edition),Roberto Bolaño,aparatoso.,
2666 (Spanish Edition),Roberto Bolaño,encuadernación,
2666 (Spanish Edition),Roberto Bolaño,estirando el cuello para,
2666 (Spanish Edition),Roberto Bolaño,butacas,
2666 (Spanish Edition),Roberto Bolaño,"cabizbajos,",
2666 (Spanish Edition),Roberto Bolaño,lamé,
2666 (Spanish Edition),Roberto Bolaño,escalerilla,
2666 (Spanish Edition),Roberto Bolaño,"empeñado,",
2666 (Spanish Edition),Roberto Bolaño,desangelado,
2666 (Spanish Edition),Roberto Bolaño,diestra,
2666 (Spanish Edition),Roberto Bolaño,"estrambótica,",
2666 (Spanish Edition),Roberto Bolaño,parece que estamos mejorando.,
2666 (Spanish Edition),Roberto Bolaño,"noctámbulos,",
2666 (Spanish Edition),Roberto Bolaño,"una vieja idea que le rondaba desde hacía un tiempo por la cabeza,",
2666 (Spanish Edition),Roberto Bolaño,no opuso ningún reparo en relatarle,
2666 (Spanish Edition),Roberto Bolaño,parajes,
2666 (Spanish Edition),Roberto Bolaño,agregaduría,
2666 (Spanish Edition),Roberto Bolaño,atinó,
2666 (Spanish Edition),Roberto Bolaño,armándose de paciencia.,
